日期,開盤(元),最高(元),最低(元),收盤(元),成交量(張),外資買賣超(張),投信買賣超(張),自營商買賣超(張),法人合計(張),融資餘額(張),融券餘額(張),融資買進(張),融券賣出(張),MA5(元),MA10(元),MA20(元),MA60(元),Vol_MA5(張),Vol_MA20(張),MACD(元),MACD_Signal(元),MACD_Hist(元),K值(%),D值(%),RSI14(%),BB_Upper(元),BB_Mid(元),BB_Lower(元),BB_%B(%),BIAS5(%),BIAS20(%),量比(倍),訊號
2025-05-14,44.52,44.77,44.39,44.77,90203,-1043.0,1778.0,1367.0,2102.0,2763,1036,91,28,,,,,,,,,,,,,,,,,,,,
2025-05-15,44.77,44.77,44.55,44.68,45678,-1463.0,2700.0,1125.0,2362.0,2710,978,51,13,,,,,,,,,,,,0.0,,,,,,,,RSI超賣
2025-05-16,44.61,44.85,44.48,44.8,37816,808.0,350.0,-3.0,1155.0,2616,457,51,2,,,,,,,,,,,,9.3,,,,,,,,RSI超賣 | 外投同步買進
2025-05-19,44.71,44.71,44.15,44.17,37941,-785.0,160.0,-561.0,-1186.0,2435,421,64,8,,,,,,,,,,,,6.1,,,,,,,,RSI超賣
2025-05-20,44.52,44.65,44.19,44.26,21364,316.0,100.0,17.0,433.0,2365,423,79,11,44.54,,,,46600,,,,,,,10.82,,,,,-0.63,,0.46,RSI超賣 | 外投同步買進
2025-05-21,44.28,45.01,44.28,44.94,54450,1125.0,-22.0,454.0,1557.0,2297,444,83,67,44.57,,,,39450,,,,,,,36.74,,,,,0.83,,1.38,
2025-05-22,44.57,44.57,44.21,44.45,33359,913.0,0.0,-316.0,597.0,2328,478,70,68,44.52,,,,36986,,,,,,,29.98,,,,,-0.16,,0.9,RSI超賣
2025-05-23,44.74,44.75,44.11,44.27,26094,-1144.0,0.0,-130.0,-1274.0,2293,485,25,29,44.42,,,,34642,,,,,,,27.95,,,,,-0.34,,0.75,RSI超賣
2025-05-26,44.22,44.43,44.14,44.22,55196,4284.0,0.0,-315.0,3969.0,2196,468,15,67,44.43,,,,38093,,,,,,,27.39,,,,,-0.47,,1.45,RSI超賣
2025-05-27,44.22,44.22,43.57,43.83,48275,-5697.0,20.0,153.0,-5524.0,2349,368,186,10,44.34,44.44,,,43475,,,,,,,23.47,,,,,-1.15,,1.11,RSI超賣 | 法人強勢賣超
