日期,大戶持股比(%),散戶持股比(%),大戶人數,散戶人數
2025-04-18,34.76,41.23,154,1054135
2025-04-25,34.78,41.11,154,1062141
2025-05-02,35.39,40.69,155,1062645
2025-05-09,35.55,40.75,152,1066804
2025-05-16,34.79,41.18,153,1066083
2025-05-23,34.46,41.31,154,1067863
2025-05-29,34.03,41.52,158,1072460
2025-06-06,39.68,37.77,156,1078203
2025-06-13,0.0,0.0,0,0
2025-06-20,43.21,17.59,661,1038903
2025-06-27,41.74,18.32,649,1073216
2025-07-04,42.54,18.21,651,1084443
2025-07-11,41.82,18.55,644,1104841
2025-07-18,41.56,18.73,646,1121242
2025-07-25,39.87,19.32,656,1142229
2025-08-01,39.5,19.5,663,1156822
2025-08-08,38.97,19.81,664,1183042
2025-08-15,38.08,20.19,663,1205625
2025-08-22,36.42,21.01,668,1255045
2025-08-29,35.3,21.37,664,1267458
2025-09-05,33.67,21.95,664,1282552
2025-09-12,35.16,21.49,669,1285764
2025-09-19,34.94,21.63,676,1311605
2025-09-26,32.56,22.52,665,1340143
2025-10-03,32.32,22.67,671,1365905
2025-10-09,31.17,23.11,673,1399399
2025-10-17,31.37,23.26,675,1460796
2025-10-23,30.55,23.6,685,1501363
2025-10-31,31.31,23.28,700,1527039
2025-11-07,30.24,23.73,703,1582317
2025-11-14,30.87,23.61,703,1617851
2025-11-21,29.98,24.06,702,1683207
2025-11-28,29.92,24.13,730,1729923
2025-12-05,31.65,23.42,740,1739940
2025-12-12,31.64,23.4,756,1754319
2025-12-19,29.4,24.24,749,1795987
2025-12-26,29.42,24.14,769,1791441
2026-01-02,29.4,24.13,770,1786499
2026-01-09,28.81,24.4,769,1821827
2026-01-16,28.68,24.51,776,1866424
2026-01-23,27.25,24.99,779,1914365
2026-01-30,27.82,24.89,785,1941485
2026-02-06,27.29,25.19,754,1993929
2026-02-13,27.85,24.91,774,2008032
2026-02-26,27.33,25.27,765,2061137
2026-03-06,26.89,25.84,762,2214753
2026-03-13,27.26,25.92,776,2321510
2026-03-20,26.85,26.06,792,2374746
2026-03-27,26.91,26.11,793,2413493
2026-04-02,26.63,26.25,791,2444706
2026-04-10,27.78,25.73,796,2432728
2026-04-17,28.09,25.56,810,2426005
2026-04-24,28.01,25.6,809,2443835
