年月,月營收(千元),年增率(%),月增率(%)
2024/04,10703166,,
2024/05,10711943,,0.08
2024/06,10003610,,-6.61
2024/07,11005022,,10.01
2024/08,10317720,,-6.25
2024/09,10415225,,0.95
2024/10,10465920,,0.49
2024/11,10020442,,-4.26
2024/12,9519583,,-5.0
2025/01,10249471,,7.67
2025/02,9752950,,-4.84
2025/03,11101274,,13.82
2025/04,11503407,7.48,3.62
2025/05,10211491,-4.67,-11.23
2025/06,11056490,10.53,8.27
2025/07,10646791,-3.26,-3.71
2025/08,10759050,4.28,1.05
2025/09,11680869,12.15,8.57
2025/10,11352460,8.47,-2.81
2025/11,12264829,22.4,8.04
2025/12,12350934,29.74,0.7
2026/01,13030129,27.13,5.5
2026/02,11505323,17.97,-11.7
2026/03,13630196,22.78,18.47
